Image ID,Feature,Landmark Index,X,Y
0,0,0,1510,1259
0,0,1,1515,1394
0,0,2,1534,1529
0,0,3,1560,1664
0,0,4,1597,1797
0,0,5,1658,1929
0,0,6,1741,2046
0,0,7,1844,2148
0,0,8,1981,2182
0,0,9,2123,2160
0,0,10,2254,2072
0,0,11,2373,1965
0,0,12,2466,1846
0,0,13,2524,1708
0,0,14,2552,1562
0,0,15,2569,1418
0,0,16,2572,1273
0,1,17,1554,1147
0,1,18,1587,1044
0,1,19,1685,998
0,1,20,1787,1005
0,1,21,1890,1045
0,1,22,2058,1040
0,1,23,2172,1001
0,1,24,2287,993
0,1,25,2398,1038
0,1,26,2457,1143
0,2,27,1965,1142
0,2,28,1959,1238
0,2,29,1955,1333
0,2,30,1951,1434
0,2,31,1869,1512
0,2,32,1914,1531
0,2,33,1964,1546
0,2,34,2018,1526
0,2,35,2071,1510
0,3,36,1661,1193
0,3,37,1710,1147
0,3,38,1779,1142
0,3,39,1846,1186
0,3,40,1780,1202
0,3,41,1712,1209
0,3,42,2134,1182
0,3,43,2199,1141
0,3,44,2269,1146
0,3,45,2322,1192
0,3,46,2269,1208
0,3,47,2199,1201
0,4,48,1796,1730
0,4,49,1865,1705
0,4,50,1932,1682
0,4,51,1980,1698
0,4,52,2031,1680
0,4,53,2108,1704
0,4,54,2188,1733
0,4,55,2110,1793
0,4,56,2035,1824
0,4,57,1979,1829
0,4,58,1928,1823
0,4,59,1865,1791
0,4,60,1830,1736
0,4,61,1930,1734
0,4,62,1980,1739
0,4,63,2032,1732
0,4,64,2153,1735
0,4,65,2032,1741
0,4,66,1980,1748
0,4,67,1931,1739
1,0,0,99,203
1,0,1,102,226
1,0,2,105,250
1,0,3,106,273
1,0,4,113,296
1,0,5,126,315
1,0,6,145,328
1,0,7,167,337
1,0,8,193,339
1,0,9,218,335
1,0,10,241,325
1,0,11,259,310
1,0,12,272,291
1,0,13,277,268
1,0,14,277,245
1,0,15,279,222
1,0,16,280,200
1,1,17,113,188
1,1,18,122,173
1,1,19,138,166
1,1,20,156,166
1,1,21,174,169
1,1,22,194,169
1,1,23,214,166
1,1,24,234,166
1,1,25,251,172
1,1,26,262,187
1,2,27,186,183
1,2,28,187,196
1,2,29,187,210
1,2,30,188,224
1,2,31,173,239
1,2,32,181,241
1,2,33,189,242
1,2,34,197,241
1,2,35,204,239
1,3,36,132,191
1,3,37,141,183
1,3,38,152,182
1,3,39,162,190
1,3,40,152,192
1,3,41,141,193
1,3,42,210,190
1,3,43,219,182
1,3,44,231,183
1,3,45,240,190
1,3,46,231,192
1,3,47,220,192
1,4,48,154,275
1,4,49,168,269
1,4,50,179,266
1,4,51,190,268
1,4,52,200,265
1,4,53,212,267
1,4,54,227,272
1,4,55,214,276
1,4,56,202,276
